Principe actif;Classe;Galénique;Galéniques alternatives;Préparation;Goût;Administration du médicament modifié;Informations;Sources;Autres sources;Réponses des laboratoires;Date
TIAPRIDE 100 mg (Tiapridal);Benzamides;Comprimé sécable;Solution buvable;Ne pas écraser ni croquer;;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude;18/04/2023
TICAGRELOR 90 mg (Brilique);Inhibiteurs de l'agrégation plaquettaire sauf héparines;Comprimé;Comprimés orodispersibles;Écrasement possible;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;Peut être écrasé et mélangé à ½ verre d'eau et bu immédiatement. Eviter le jus de pamplemousse.;RCP;;;18/04/2023
TICLOPIDINE 250 mg (Ticlid);Inhibiteurs de l'agrégation plaquettaire sauf héparines;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre de préférence pendant les repas.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
TIPRANAVIR 250 mg (Aptivus);Inhibiteurs de protéase;Capsule molle;Non;Ne pas ouvrir;;;A prendre pendant les repas.;RCP;;Boehringer Ingelheim 24-02-2022 : cf. RCP;18/04/2023
TOLVAPTAN 15, 30, 60, 90 et 120 mg (Jinarc);Antagonistes de la vasopressine;Comprimé;Non;Ne pas écraser ni croquer;;;La 1ère dose (la plus forte) est à prendre le matin ? 30 min avant le repas. La 2ème dose peut être prise pendant ou en dehors des repas. Eviter le jus de pamplemousse.;RCP;;;18/04/2023
TOPIRAMATE 15, 25 et 50 mg (Epitomax);Autres antiépileptiques;Gélule;Non;Ouverture possible;Goût désagréable;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;Peut être ouvert et réparti sur une cuillère à café de nourriture semi-solide de n'importe quel type. Administration immédiate. Goût amer.;RCP;;;18/04/2023
TOPIRAMATE 25, 50, 100 et 200 mg (Epitomax);Autres antiépileptiques;Comprimé;Gélules ouvrables;Ne pas écraser ni croquer;Goût désagréable;;Goût amer.;RCP;;;18/04/2023
TRAMADOL 50 mg (Contramal, Topalgic);Autres opioïdes;Gélule;Comprimés effervescents, comprimés orodispersibles, solution buvable;Ne pas ouvrir;Goût désagréable;;;Réponse laboratoire;;Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude;18/04/2023
TRAMADOL 50 mg (Topalgic);Autres opioïdes;Comprimé;Comprimés effervescents, comprimés orodispersibles, solution buvable;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;;Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude;19/09/2023
TRAMADOL LP 50, 100, 150 et 200 mg (Zamudol LP);Autres opioïdes;Gélule LP;Pas d'équivalent LP;Ouverture possible, ne pas écraser ni croquer;Goût désagréable;Prise possible avec de l’eau<br>;Peut être ouvert dans une cuillère. A avaler à l'aide d'un verre d'eau.;RCP;;;18/04/2023
TRAMADOL LP 50, 100, 150, 200 et 300 mg (Contramal LP, Monoalgic LP, Topalgic LP);Autres opioïdes;Comprimé LP;Gélules LP ouvrables;Ne pas écraser ni croquer;Goût désagréable;;;RCP;;;18/04/2023
TRANDOLAPRIL / VERAPAMIL LP 180/2, 240/2 et 240/4 mg (Tarka LP);Inhibiteurs de l'enzyme de conversion et inhibiteurs des canaux calciques;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre le matin de préférence à heure fixe, environ 30 min avant le repas. Eviter le jus de pamplemousse.;Galénique;;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
"TRANDOLAPRIL 0,5 ; 2 et 4 mg (Odrik)";Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association;Gélule;Non;Ouverture possible;;Prise possible avec de l’eau<br>;Les gélules seront avalées avec une quantité suffisante de liquide (1/2 à 1 verre d'eau). ;Réponse laboratoire;;Viatris 17-02-2023 : Les gélules peuvent être ouvertes. ;18/04/2023
TRIAMTERENE / HYDROCHLOROTHIAZIDE 50/25 mg (Prestole);Diurétiques low-ceiling et épargneurs potassiques;Gélule;Non;?;Goût désagréable;;A prendre le matin.;;;En attente (Almirall);18/04/2023
TRICLABENDAZOLE 250 mg (Egaten);Autres antitrématodes;Comprimé sécable;Non;Écrasement possible;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;A prendre de préférence pendant ou après un repas. Peut être écrasé et mélangé à de la nourriture semi-solide.;Notice patient;;Novartis 16-03-2022 : cf. RCP;18/04/2023
TRIHEXYPHENIDYLE 2 et 5 mg (Artane);Amines tertiaires;Comprimé;Solution buvable;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;19/09/2023
TRIHEXYPHENIDYLE LP 2 et 5 mg (Parkinane LP);Amines tertiaires;Gélule LP;"? Non LP ?
Solution buvable";Ne pas ouvrir;;;;Thériaque 03/2023;;;18/04/2023
TRIMEBUTINE 100 et 200 mg (Debridat);Anticholinergiques synthétiques, esters d'amines tertiaires;Comprimé;;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.;19/09/2023
TRIMETAZIDINE 20 mg (Vastarel);Autres médicaments pour le cœur;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas.;Réponse laboratoire;;Servier 28-02-2022 : broyage déconseillé car pas d'étude;18/04/2023
TRIMETAZIDINE LM 35 mg (Vastarel LM);Autres médicaments pour le cœur;Comprimé LM;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas.;Galénique;;Servier 28-02-2022 : non écrasable car forme à libération modifiée;18/04/2023
TRIMIPRAMINE 25 et 100 mg (Surmontil);Inhibiteurs non-sélectifs de la recapture des monoamines;Comprimé ou comprimé sécable;Solution buvable;Ne pas écraser ni croquer;;;A prendre de préférence le soir.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
TROPATEPINE 10 mg (Lepticur);Amines tertiaires;Comprimé;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>;;Réponse laboratoire;;Laboratoires Delbert 14-03-2022 : écrasement déconseillé car pas d'étude, mais possible en cas de nécessité uniquement.;18/04/2023
TROSPIUM 20 mg (Ceris);Antispasmodiques urinaires;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre à jeun avant un repas.;RCP;;;18/04/2023
URAPIDIL LP 30 et 60 mg (Eupressyl LP);Alpha-bloquants;Gélule LP;Non;Ouverture possible;;;A prendre pendant les repas matin et soir.;Réponse laboratoire;;Cheplapharm 14-03-2022 : Il est peu probable que l'ouverture de la gélule ait des effets indésirables. Il est cependant essentiel de veiller à ne pas endommager les microgtranules qui assurent la LP;19/09/2023
VALACICLOVIR 500 mg (Zelitrex);Nucléosides et nucléotides sauf inhibiteurs de la transcriptase inverse ;Comprimé;Non;Ne pas écraser ni croquer;;;;Notice patient;;GSK 02-10-2020 : écrasement déconseillé car pas d'étude;18/04/2023
VALGANCICLOVIR 450 mg (Rovalcyte);Nucléosides et nucléotides sauf inhibiteurs de la transcriptase inverse ;Comprimé;Poudre pour suspension buvable;Ne pas écraser ni croquer;;;PA cytotoxique. A prendre pendant les repas. ;RCP;Ecrasable selon HUG 03/2023;;18/04/2023
VALPROATE 200, 250 et 500 mg (Depakine);Dérivés d'acides gras;Comprimé GR;Solution buvable, sirop;Ne pas écraser ni croquer;;;;Notice patient;;;18/04/2023
VALPROATE LP 100, 250, 500, 750 et 1000 mg (Micropakine LP);Dérivés d'acides gras;Granulés LP;"? Non LP ?
Solution buvable, sirop";Ne pas écraser ni croquer;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;A saupoudrer sur un aliment mou ou une boisson, froid ou à température ambiante (yaourt, jus d’orange, compote…). Administration immédiate. A prendre de préférence au cours des repas.;RCP;;;18/04/2023
VALPROATE LP 500 mg (Depakine chrono);Dérivés d'acides gras;Comprimé LP;Granulés LP;Ne pas écraser ni croquer;;;A prendre de préférence au cours des repas.;RCP;;;18/04/2023
VALPROMIDE 300 mg (Depamide);Dérivés d'acides gras;Comprimé GR;Non;Ne pas écraser ni croquer;;;;Notice patient;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
"VALSARTAN / HYDROCHLOROTHIAZIDE 80/12,5 ; 160/12,5 et 160/25 mg (Cotareg)";Antagonistes de l'angiotensine II et diurétiques;Comprimé;Non;?;;;A prendre à heure fixe, de préférence le matin.;;;En attente (Biogaran);18/04/2023
VALSARTAN 40, 80 et 160 mg (Tareg);Antagonistes de l'angiotensine II non associés;Comprimé ou comprimé sécable;Solution buvable;?;;;A prendre à heure fixe.;;;En attente (Biogaran);18/04/2023
VENETOCLAX 10, 50 et 100 mg (Venclyxto);Autres antineoplasiques;Comprimé;Non;;;;A prendre à heure fixe pendant les repas.;RCP;;Abbvie 26-06-2025: les comprimés ne doivent pas être croqués, écrasés ou cassés avant d'être avalés. ;26/06/2025
VENLAFAXINE 50 mg (génériques);Autres antidépresseurs;Comprimé;Non;Ne pas écraser ni croquer;;;;Thériaque 03/2023;Ecrasable selon HUG 03/2023;Viatris 28-03-2024 : écrasement déconseillé car pas d'étude;28/03/2024
VENLAFAXINE LP 150 et 225 mg (génériques);Autres antidépresseurs;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre de préférence pendant les repas.;RCP;;;18/04/2023
"VENLAFAXINE LP 37,5 ; 75 et 150 mg (Effexor LP)";Autres antidépresseurs;Gélule LP;Comprimés LP;Ne pas ouvrir;;Prise possible avec de la compote<br>Prise immédiate après préparation<br>;A prendre à heure fixe pendant les repas.;RCP;Ouvrable selon laboratoire;Pfizer 04-08-2020 : la gélule n'est qu'un excipient. Une étude interne montre la possibilité de mélanger les microgranules à une compote, à avaler immédiatement.;18/04/2023
VERAPAMIL 120 mg (Isoptine);Dérivés de la phénylalkylamine;Gélule;Non;Ne pas ouvrir;Goût désagréable;;A prendre pendant les repas. Eviter le jus de pamplemousse.;RCP;;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
VERAPAMIL 40 et 120 mg (Isoptine);Dérivés de la phénylalkylamine;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre pendant les repas. Eviter le jus de pamplemousse.;Réponse laboratoire;;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
VERAPAMIL LP 240 mg (Isoptine LP);Dérivés de la phénylalkylamine;Comprimé sécable LP;Non;Ne pas écraser ni croquer;;;A prendre de préférence pendant les repas. Eviter le jus de pamplemousse.;RCP;;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
VERAPAMIL LP 240 mg (génériques);Dérivés de la phénylalkylamine;Gélule LP;Non;Ne pas ouvrir;;;A prendre de préférence pendant les repas. Eviter le jus de pamplemousse.;Réponse laboratoire;;Teva 01-03-2022 : ouverture déconseillée car pas d'étude. Sensible à l'humidité.;18/04/2023
VIGABATRINE 500 mg (Sabril);Dérivés d'acides gras;Comprimé sécable;Granulés pour solution buvable;Ne pas écraser ni croquer;;;A prendre avant ou après les repas.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
VILDAGLIPTINE 50 mg (Galvus);Inhibiteurs de la dipeptidyl peptidase-4 (DPP-4);Comprimé;Non;Ne pas écraser ni croquer;;;;RCP;;Novartis 16-03-2022 : cf. RCP;18/04/2023
VINORELBINE 20 et 30 mg (Navelbine);Vinca-alcaloïdes et analogues;Capsule molle;Non;Ne pas ouvrir;;;PA cytotoxique. A prendre de préférence en fin d'un repas léger ou d'une collation. Ne pas prendre avec une boisson gazeuse.;RCP;;Pierre Fabre 21-02-2022 : PA irritant;18/04/2023
VORASIDENIB 10 et 40mg (génériques);Inhibiteurs de l'isocitrate déshydrogénase (IDH);Comprimé;Non;;;;A prendre à heure fixe, 2h avant un repas ou 1h après.;Réponse laboratoire;;Servier 03-06-2025: pas de données pour écraser/diluer dans l'eau ni pour l'administration par sonde nasogastrique;04/06/2025
VORICONAZOLE 50 et 200 mg (Vfend);Dérivés triazolés;Comprimé;Suspension buvable;Ne pas écraser ni croquer;;;A prendre ? 1h avant ou après un repas.;Notice patient;;;18/04/2023
VORTIOXETINE 5, 10, 15 et 20mg (Brintellix);Autres antidépresseurs;Comprimé;;Ne pas écraser ni croquer;;;A prendre avec ou sans aliments. ;Réponse laboratoire;Ecrasable selon HUG 03/2023;Lundbeck 06-12-2023 : écrasement déconseillé car pas d'étude;06/12/2023
WARFARINE 2 et 5 mg (Coumadine);Antivitamines K;Comprimé sécable;Suspension buvable (AAC);Écrasement possible;;Prise possible avec de l’eau<br>;A prendre à heure fixe, de préférence le soir.;Réponse laboratoire;;BMS 19-08-2020 : 2 études mentionnent la stabilité de la Coumadine écrasée en suspension.;18/04/2023
ZIDOVUDINE 100 et 250 mg (Retrovir);Inhibiteurs de la transcriptase inverse nucléosidique et nucléotidique;Gélule;Solution buvable;Ne pas ouvrir;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;;Notice patient;Ouvrable selon HUG 03/2023;GSK 20-03-2023 : écrasement déconseillé car pas d'étude;18/04/2023
ZINC GLUCONATE 15 mg (Effizinc, Rubozinc);Autres anti-acnéiques à usage systémique;Gélule;Non;?;;;A prendre à distance des repas, si possible ? 2h, en position assise avec un grand verre d'eau. Ne pas s'allonger jusqu'à 30 min après la prise.;;;En attente (Labactal);18/04/2023
ZOLMITRIPTAN 2,5 mg (Zomig);Agonistes sélectifs des récepteurs 5-HT1;Comprimé;Comprimés orodispersibles;Ne pas écraser ni croquer;;;A prendre pendant la crise de migraine uniquement, de préférence le plus tôt possible.;Thériaque 03/2023;;;18/04/2023
ZOLPIDEM 10 mg (Stilnox);Apparentés aux benzodiazepines;Comprimé sécable;Comprimé sublingual;Ne pas écraser ni croquer;;;A prendre avant le coucher.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
ZONISAMIDE 25, 50 et 100mg (Zonegran);Autres antiépileptiques;Gélule;Non;Ne pas ouvrir;;;A prendre à heure fixe, pendant ou en dehors des repas.;RCP;Ouvrable selon HUG 03/2023;Advanz Pharma 26-06-2024 : Selon une étude (Shah et al. (2001a, 2001b)), pas de différence significative dans les paramètres pharmacocinétiques entre les géules intactes et les gélules ouvertes. ;26/06/2024
ZOPICLONE 3,75 et 7,5 mg (Imovane);Apparentés aux benzodiazepines;Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre avant le coucher.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
ZUCLOPENTHIXOL 10 et 25 mg (Clopixol);Dérivés du thioxanthène;Comprimé;Solution buvable en gouttes;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;;Réponse laboratoire;;Lundbeck 14-03-2022 : Pas d'étude de stabilité mais écrasement et dissolution possible dans l'eau si administration immédiate. Goût amer.;18/04/2023
